CODICE	DESCRIZIONE	COORDX	COORDY
pv5008	Pavia - Cassinino	511066,188	5007968,5
pv5009	Pavia - Cassinino	511057,438	5007959,5
pv5010	Pavia-Localita Vigna	515976,438	5007262
pv5011	Pavia-Localita Vigna	515943	5007240
pv5012	Pavia-Osp. Policlinico S. Matteo	511753,062	5004686,5
pv5013	Pavia-Osp. Policlinico S. Matteo	511643	5004699
pv5014	Pavia-P.za Emanuele Filiberto	512726,969	5003996,5
pv5015	Pavia-P.za Emanuele Filiberto	512759,031	5004001
pv5016	Pavia-S. Pietro (Chiesa)	514280,844	5003042
pv5017	Pavia-S. Pietro (Chiesa)	514248	5003074
pv5018	Pavia-V.Abbiategrasso (Istituito Volta)	510651,812	5005232
pv5019	Pavia-V.Abbiategrasso (Istituito Volta)	510675,125	5005229,5
pv5020	Pavia-V.Aselli 25 (Mandrini Gomme)	511281,594	5004441
pv5021	Pavia-V.Aselli 25 (Mandrini Gomme)	511235,938	5004503,5
pv5022	Pavia-V.Brambilla 57 (Trattoria Abate)	511697,906	5005705,5
pv5023	Pavia-V.Fasolo	513913,438	5004738
pv5024	Pavia-V.Fasolo	513913,062	5004748,5
pv5025	Pavia-V.Ferrini	513196,531	5004137,5
pv5026	Pavia-V.Ferrini	513174,438	5004149
pv5027	Pavia-V.Gorizia 26 ang V.Calchi (Scuole)	512958,812	5003395
pv5028	Pavia-V.Gorizia 39 ang V.Calchi (Scuole)	512963,906	5003411
pv5029	Pavia-V.S. Lanfranco Beccari	509326,5	5004673,5
pv5030	Pavia-V.S. Lanfranco Beccari	509360,375	5004649
pv5031	Pavia-V.Sora	508426,188	5004998,5
pv5032	Pavia-V.Sora	508439,562	5004983
pv5033	Pavia-V.Trieste (Autostazione)	511581,938	5004020,5
pv5034	Pavia-Viale Bligny	512701,844	5004156
pv5035	Pavia-Viale Bligny	512747,031	5004143
pv5036	Pavia-Viale Cremona / Frigirola	515600,25	5002709,5
pv5037	Pavia-Viale Cremona / Frigirola	515573,156	5002739
pv5038	Pavia-Viale Gorizia	512958,812	5003395
pv5039	Pavia-Viale Matteotti	512066,438	5004084
pv5040	Pavia-Viale Matteotti	512155,656	5004007
pv5041	CAMPARI Villa Eleonora	514146,594	5003783
pv5042	CAMPARI Villa Eleonora	514124,594	5003766,5
pv5043	PAVIA-Frazione Mirabello	513024,906	5007308
pv5044	PAVIA-Frazione Mirabello	513030,844	5007279
pv5046	PAVIA - Via Tasso	512912,219	5004249,5
pv5047	PAVIA - Via Tasso	512829,938	5004212
pv5048	PAVIA-Montebellino	508293,902	5007857,51
pv5049	PAVIA-Montebellino	508287,7988	5007849,372
pv5050	PAVIA-Montebellino Strada per Villalunga	508743,4295	5007187,337
pv5051	PAVIA-Montebellino Strada per Villalunga	508724,9079	5007155,586
pvBORDONI	PAVIA - Bordoni	513078	5003046
pvCARCERE	CASA CIRCONDARIALE	513829,188	5006028,5
pvCASTELLO	CASTELLO	512325,719	5003982
pvCDTERRA	PAVIA-Frazione Ca Della Terra	515047,906	5006052,5
pvCIAPESSG	CIAPESSONI Gerla	513720,156	5003689,5
pvCOSGRAP	PAVIA - Cossa Montegrappa	514080	5003132
pvCOSSEDE	PAVIA - Cossa Sede	512805	5004030
pvCRAVINO	PAVIA-Cravino-Via Abbiategrasso	510647,719	5005245
pvCREMARCO	PAVIA - Cremona Marconi	512720	5004500
pvCRESCALA	PAVIA - Cremona Scala	512644	5006542
pvDEPOSITO	DEPOSITO PAVIA Via Donegani	513915,969	5003280,5
pvDEPPMT	DEPOSITO Pavia - PMT	511333,469	5006071,5
pvFIRENZE	FIRENZE	514349,062	5004269,5
pvGRAPPIST	MONTEGRAPPA Ist. Cossa	514150,344	5003086
pvINDIPEND	INDIPENDENZA	512151,031	5004474
pvISTVOLTA	ABBIATEGRASSO Ist Volta	510678,281	5005189
pvMAINOMAN	MONTEMAINO Mantegazza	513874,281	5007588,5
pvMANZGUID	MANZONI GUIDI	511413,219	5003762
pvMANZONI	PAVIA-Corso Manzoni-Ponte ferrovia	511223,562	5003794
pvMATTE	PAVIA-Viale Matteotti	512191,75	5004013,5
pvMAUGERIM	MAUGERI MONDINO	511070,469	5005517
pvMILLEGRA	DEI MILLE Gravellone	511497	5002081,5
pvMIRABEL	PAVIA-Frazione Mirabello	513027,719	5007294,5
pvMUNICIPI	MUNICIPIO	512550,969	5003454,5
pvPALBIAN	PAVIA - Palestra PALABIANCHI	510355	5005061
pvPALCARD	PAVIA - Palestra Collegio Cardano	513010	5002713
pvPALTREV	PAVIA - Palestra PALATREVES	513702	5005115
pvPALVALLA	PAVIA - Palestra Valla	511554	5003216
pvPARK	PAVIA-Parcheggio	511581	5004020
pvPASTRENG	PASTRENGO	514629	5004424,5
pvPENSA	PENSA Paiola-Maciachini	514515,156	5004750
pvPOLICGOL	POLICLINICO Golgi	511681,781	5004704
pvPOLICLIN	PAVIA-Policlinico San Matteo	511691,375	5004747
pvSANGIUSE	SAN GIUSEPPE	512477,156	5004873
pvSCARPONE	SCARPONE	516456,281	5001656
pvSLANFCIM	SAN LANFRANCO Cimitero	510124,812	5004527
pvSPIETRO	SAN PIETRO IN VERZOLO	514269,188	5003053,5
pvSTAZFS	STAZIONE FS	511409,719	5003907,5
pvSTRNUOVD	STRADA NUOVA Demetrio	512202,438	5003582,5
pvTARAVIS	TARAMELLI/UNIV-AVIS	511198,5	5005137
pvTARMATT	PAVIA - Taramelli Matteotti	512135	5004022
pvTASSO	TASSO	512867,719	5004230
pvTAVLARD	TAVAZZANI LARDIRAGO	514262,656	5005150
pvTICINELL	TICINELLO Colombo	511259,156	5003387,5
pvTRENTO	TRENTO	513870,938	5004640
pvTREVEVIG	TREVES Vigentina	513407,281	5005283
pvVENERONI	VENERONI Ciapessoni	513897,688	5003773,5
