CODICE	DESCRIZIONE	COORDX	COORDY
pv0220	GOLGI Taramelli	511535,625	5004701,5
pv0222	TARAMELLI Forlanini	511324,188	5004990
pv0223	TARAMELLI Avis	511199,031	5005147
pv0224	FERRATA Tangenziale Ovest	510991,469	5005373,5
pv0225	MAUGERI MONDINO	511081,312	5005520,5
pv0226	FERRATA Abbiategrasso	510489,531	5005475
pv0227	E. TIBALDI Cervi	510281,625	5005161,5
pv0228	CASCINA PELIZZA E. Tibaldi	510148,531	5005039
pv0229	SAN LANFRANCO Tevere	509910,906	5004566
pv0231	SAN LANFRANCO Tevere	509935,188	5004540,5
pv0232	CASCINA PELIZZA E. Tibaldi	510136	5004979
pv0233	TIBALDI ETTORE	510309,625	5005176
pv0234	FERRATA Abbiategrasso	510537,031	5005502,5
pv0235	MAUGERI MONDINO	511048,594	5005534
pv0236	FERRATA Tangenziale Ovest	510974,375	5005379
pv0237	ISTITUTI UNIVERSITARI Avis	511199,781	5005122,5
pv0238	TARAMELLI Bassi	511325,406	5004909,5
pv0239	GOLGI Taramelli	511548,312	5004689,5
pv0240	GOLGI Policlinico	511663,781	5004697,5
pv0241	TRIESTE D. Chiesa	511840,938	5004338,5
pv0242	TRIESTE Filzi	511620	5004143
pv0243	STAZIONE 5	511448,781	5003890,5
pv0244	CAVOUR Minerva	511620,312	5003716,5
pv0245	CAVOUR Tribunale	511840,156	5003651,5
pv0246	CAVOUR	512092,188	5003574
pv0247	MAZZINI	512299,438	5003506,5
pv0248	SCOPOLI	512700,469	5003463,5
pv0249	GORIZIA Calchi	512947,5	5003420
pv0250	GORIZIA Garibaldi	513065,25	5003115
pv0251	PARTIGIANI San Giovannino	513466,344	5003150,5
pv0252	MONTEGRAPPA Dossi	513735,219	5003196
pv0253	SAN PIETRO IN VERZOLO	514279,312	5003043,5
pv0254	CREMONA Francana	514699,094	5002944,5
pv0255	CREMONA Giardini	514978,688	5002865
pv0256	CREMONA Scarenzio	515339,938	5002753,5
pv0257	CREMONA P. Tibaldi	515607,344	5002713,5
pv0258	CREMONA Grumello	515896,188	5002668
pv0259	VALLONE Gramsci	514956,656	5004337
pv0260	NENNI	515109,25	5004427,5
pv0261	NENNI De Gasperi	514992,344	5004597,5
pv0262	DON STURZO	514794,219	5004713
pv0263	PENSA Maciachini	514526,281	5004737
pv0264	PENSA Bologna	514479	5004917
pv0265	TAVAZZANI Lardirago	514253,094	5005149
pv0266	TAVAZZANI Piazzale	514122,594	5005093,5
pv0267	TAVAZZANI Lardirago	514272,312	5005154,5
pv0268	PENSA Broni	514397,469	5005059
pv0269	PENSA Paiola	514512,594	5004735,5
pv0270	PAIOLA Pensa	514416,656	5004684,5
pv0271	PAIOLA Solferino	514197,406	5004609,5
pv0272	TORINO Pinerolo	514303,562	5004550,5
pv0273	FIRENZE Solferino	514358,5	5004294
pv0274	SOLFERINO Paiola	514196,969	5004573,5
pv0276	TRENTO	513876,656	5004673,5
pv0277	FASOLO Liguria	513669	5004532,5
pv0278	ADDOBBATI Fasolo	513551,406	5004411,5
pv0279	SAN PAOLO Ferrini	513257,5	5004133,5
pv0280	CAMPARI San Paolo	513297,312	5003921,5
pv0281	CAMPARI Ferrini	513140,656	5003955
pv0282	BLIGNY Tasso	512745	5004142,5
pv0283	BLIGNY Borgo Calvenzano	512416,719	5004359,5
pv0284	PORTA MILANO	512308,281	5004319
pv0285	MATTEOTTI Griziotti	512157,688	5004051,5
pv0286	MATTEOTTI Dante	511948,2879	5004108,008
pv0287	MANZONI Guidi	511422,781	5003766,5
pv0288	MANZONI Eredi Farina	511226,281	5003796
pv0289	RIVIERA Folla di Sopra	510935	5003852,5
pv0290	RIVIERA Arsenale	510663,844	5003903,5
pv0291	RIVIERA Vivai	510394,344	5004183,5
pv0292	SAN LANFRANCO Cimitero	510147,5	5004524
pv0293	SAN LANFRANCO Colombarone	509670,938	5004593,5
pv0294	MASCHERPA civ. 47	509464,281	5004649
pv0295	MASCHERPA civ. 61	509332,906	5004672,5
pv0296	CHIOZZO Turati	509090,562	5004729
pv0297	CHIOZZO Labriola	508924,656	5004775
pv0298	CHIOZZO Colorni	508762,312	5004842,5
pv0299	SORA civ. 17	508432,875	5004996,5
pv0300	SORA Strada Molinazzo	508251	5005174,5
pv0301	SORA	508073,906	5005452,5
pv0302	SORA Strada Molinazzo	508254,219	5005142,5
pv0303	SORA civ. 12	508440,844	5004980
pv0304	CHIOZZO Colorni	508770,656	5004826
pv0305	CHIOZZO Grandi	508953,312	5004747
pv0306	CHIOZZO Turati	509153,156	5004709
pv0307	MASCHERPA	509354,469	5004654
pv0309	SAN LANFRANCO Colombarone	509694,812	5004574
pv0310	SAN LANFRANCO Cimitero	510108,094	5004524
pv0311	RIVIERA Strada	510360,188	5004227
pv0312	RIVIERA Arsenale	510599,875	5003902
pv0313	RIVIERA Gragnani	510967,25	5003833,5
pv0314	MANZONI Eredi Farina	511220,594	5003786
pv0315	STAZIONE 1	511427,219	5003858
pv0316	BATTISTI Minerva	511590,656	5003785
pv0317	XI FEBBRAIO P.ta Milano	512316,062	5004253
pv0318	BLIGNY Borgo Calvenzano	512428,562	5004337
pv0319	BLIGNY Morosi	512708,438	5004158
pv0320	CAMPARI Sicilia	513094,938	5003953
pv0321	CAMPARI San Giovannino	513327,25	5003903,5
pv0322	FERRINI San Paolo	513287,875	5004167
pv0323	FASOLO Addobbati	513557,219	5004396,5
pv0324	FASOLO Brianza	513645,344	5004503,5
pv0325	TRENTO Monferrato	513878,781	5004614,5
pv0327	SOLFERINO Alessandria	514168,656	5004567
pv0328	SOLFERINO Mortara	514241,719	5004360
pv0329	FIRENZE Torino	514330,188	5004242,5
pv0330	TORINO Brescia	514376,812	5004415,5
pv0331	TORINO Treviso	514335,188	5004542
pv0332	PAIOLA Torino	514274,844	5004627
pv0333	PAIOLA Pastrengo	514570,125	5004713
pv0334	DON STURZO	514786,406	5004695,5
pv0335	NENNI De Gasperi	514985,906	5004586,5
pv0336	NENNI	515065,781	5004341,5
pv0337	STAZIONE 3	511413,125	5003894,5
pv0338	INDIPENDENZA Cuzio	511986,125	5004603
pv0339	INDIPENDENZA civ. 36	512135,031	5004482
pv0340	REPUBBLICA P.ta Milano	512345,594	5004463,5
pv0341	REPUBBLICA Ludovico il Moro	512360,406	5004588
pv0342	REPUBBLICA San Giuseppe	512381,156	5004890,5
pv0343	REPUBBLICA	512329,688	5005023,5
pv0344	REPUBBLICA Campo Sportivo	511957,031	5005585,5
pv0345	REPUBBLICA Gramegna	511867,781	5005713,5
pv0346	GRAMEGNA	511628,438	5006013,5
pv0347	BRAMBILLA Tangenziale	511675,906	5005731
pv0348	BRAMBILLA Ist. Microbiologia	511719,781	5005546,5
pv0349	BRAMBILLA civ. 70	511737,875	5005476
pv0350	BRAMBILLA civ. 34	511840	5005071
pv0351	BRAMBILLA Adelchi Negri	511868,312	5004933,5
pv0352	TAVAZZANI Brusoni	514162,594	5005171,5
pv0353	PASTRENGO Brescia	514569,281	5004513
pv0354	BRESCIA Torino	514385	5004442
pv0356	SOLFERINO Casteggio	514347,719	5004058,5
pv0357	CAMPARI Villa Eleonora	514152,062	5003786
pv0358	VENERONI Ciapessoni	513892,438	5003777
pv0359	STAFFORINI Cimitero	513800,375	5003554,5
pv0360	CIAPESSONI Gerla	513682,625	5003702
pv0361	INGRAO San Giovannino	513464,219	5003701,5
pv0362	LUNGOTICINO VISCONTI Rezia	511933,562	5003157
pv0363	LUNGOTICINO VISCONTI	511655,156	5003194
pv0364	MONTEBELLO DELLA BATTAGLIA	511501,531	5003244
pv0365	TICINELLO Colombo	511258,875	5003363
pv0366	CAVALLINI Franchi	511457,25	5003415,5
pv0367	LIBERTA' Minerva	511545,469	5003605
pv0368	BRICCHETTI Sottopassaggio FS	511405,969	5004020
pv0369	ASELLI Golgi	511390,094	5004259,5
pv0370	ASELLI Flarer	511278,75	5004453
pv0371	ASELLI Cazzamali	511162	5004653
pv0372	ASELLI Cagnoni	511092,312	5004764
pv0375	ABBIATEGRASSO Ist. A. Volta	510692,125	5005212,5
pv0376	LUDOVICO IL MORO Ist. I.P.S.I.A.	512737,875	5004468,5
pv0377	ABBIATEGRASSO Ist. A. Volta	510684,562	5005202,5
pv0378	ASELLI Cagnoni	511058,094	5004800,5
pv0379	MORUZZI	510954,469	5004595
pv0380	ASELLI Cazzamali	511108,375	5004708
pv0381	ASELLI Bargiggia	511245,969	5004482
pv0382	ASELLI Lovati	511331,469	5004339
pv0383	BRICCHETTI Sottopassaggio FS	511430,469	5004053
pv0384	RIVIERA Ambrogio da Fossano	511136,531	5003820
pv0385	MANZONI Guidi	511421,906	5003751
pv0386	CAVALLINI Franchi	511457,812	5003423
pv0387	TICINELLO Colombo	511262,562	5003418
pv0388	MONTEBELLO DELLA BATTAGLIA	511436,125	5003221
pv0389	LUNGOTICINO VISCONTI Calcinara	511592,312	5003175,5
pv0390	LUNGOTICINO VISCONTI Ballerini	511911,406	5003147,5
pv0391	E. FILIBERTO fontana	512766,969	5004005
pv0392	INGRAO San Giovannino	513502,469	5003697
pv0393	GERLA Ciapessoni	513725,969	5003640
pv0394	STAFFORINI Cimitero	513847,344	5003546
pv0395	CIAPESSONI Gerla	513769,875	5003671
pv0396	VENERONI Ciapessoni	513900,656	5003766,5
pv0397	CAMPARI Villa Eleonora	514130,094	5003767,5
pv0398	SOLFERINO Cividale	514336,312	5004125,5
pv0399	GORIZIA EX DEPOSITO ASM	512933,094	5003487,5
pv0401	VERONA Torino	514445,688	5004225
pv0403	PASTRENGO Paiola	514578,031	5004536
pv0404	TAVAZZANI Brusoni	514187,469	5005164
pv0405	CEVA	513969,281	5005162,5
pv0406	CEVA Marchesi	513836,594	5005106
pv0407	TREVES Ortaglia Ospedale	513576,156	5005239,5
pv0408	TREVES Vigentina	513436,25	5005279,5
pv0409	VIGENTINA Parco	513288,375	5005133,5
pv0410	TORRETTA	513210,812	5004868,5
pv0411	TASSO Torretta	513133,25	5004573,5
pv0412	TASSO Bona di Savoia	513047	5004393
pv0413	STAZIONE 2	511426,656	5003878
pv0414	TASSO Gaffurio	513078,469	5004410,5
pv0415	TASSO Torretta	513154,969	5004590,5
pv0416	TORRETTA	513225,688	5004873
pv0417	VIGENTINA civ. 17	513303,312	5005153,5
pv0418	TREVES Vigentina	513376,5	5005285,5
pv0419	TREVES Ortaglia Ospedale	513576,719	5005227
pv0420	MARCHESI	513893,75	5005179
pv0422	PONZIO Ist. Clerici	516042,875	5004024,5
pv0424	PARCO VECCHIO	513184,125	5004326,5
pv0425	RIONE SCALA Ist. I.P.S.I.A.	512598,594	5006474,5
pv0426	PARCHEGGIO NORD	511507,188	5005501
pv0427	PARCHEGGIO NORD Campeggi	511476,125	5005451,5
pv0428	TRAUMATOLOGIA Infettivi	511497,688	5005271
pv0429	PEDIATRIA Forlanini	511560,406	5005197
pv0430	CENTRO TRASFUSIONALE	511658,875	5005010
pv0431	CHIRURGIE Medicine	511598,469	5004976,5
pv0432	INGRESSO PRINCIPALE	511627,844	5004807
pv0433	OCULISTICA Ostetricia	511552,469	5004782
pv0434	REPARTI SPECIALI Radiologia	511516,469	5004897
pv0435	CHIRURGIA	511622,656	5004943,5
pv0436	CENTRO TRASFUSIONALE	511690,562	5004965,5
pv0437	PEDIATRIA Forlanini	511594,969	5005166,5
pv0438	TRAUMATOLOGIA Infettivi	511497,344	5005301
pv0439	CA' DELLA TERRA	515007,719	5005889
pv0440	FORNETTO	514938,688	5005930,5
pv0441	LARDIRAGO Torre del Gallo	514456,375	5005327,5
pv0442	LARDIRAGO Treves	514064,969	5004858,5
pv0443	FASOLO Umbria	513903	5004746
pv0444	MAZZINI Galliano	512366,062	5003510
pv0445	FASOLO Trento	513899,594	5004726
pv0446	LARDIRAGO Gambarana	514086,281	5004861,5
pv0447	LARDIRAGO Torre del Gallo	514487,344	5005331
pv0448	FORNETTO	514969,125	5005953,5
pv0449	REPUBBLICA Parcheggio	512050,625	5005461
pv0453	VIGENTINA civ. 29	513426,469	5005573,5
pv0454	CASA CIRCONDARIALE	513839,156	5005998,5
pv0455	MONTEMAINO Ex dazio	514029,938	5007673,5
pv0456	San Genesio PESCARINA Di Vittorio	514253,688	5008503,5
pv0457	San Genesio PESCARINA Due Porte	514327,969	5008767,5
pv0458	San Genesio RIVIERA	514081,469	5008940,5
pv0459	San Genesio TRIESTE	514069,625	5009079,5
pv0460	San Genesio I MAGGIO	513891,094	5009173,5
pv0461	San Genesio CAROLA	513700,438	5009114
pv0462	San Genesio COMUNALE	513869,438	5009160
pv0463	San Genesio TRIESTE	514058,562	5009105,5
pv0464	San Genesio RIVIERA civ. 12	514089,375	5008917
pv0465	San Genesio RIVIERA civ. 4	514286,875	5008801,5
pv0466	San Genesio PESCARINA ANTEO	514257,656	5008574
pv0467	MONTEMAINO Ex dazio	514007,656	5007661
pv0468	CASA CIRCONDARIALE	513806,75	5005991
pv0469	VIGENTINA civ. 14	513402,219	5005534,5
pv0470	BRAMANTE	511306,156	5001840,5
pv0471	San Martino PO	511051,469	5001235,5
pv0472	Travacò LA ROTTA civ. 6	511205,938	5001192
pv0473	Travacò LA ROTTA civ. 26	511492,5	5001158,5
pv0474	Travacò Cascina PORTICHETTO	511739,031	5000962,5
pv0475	Travacò Cascina BALENA	511905,312	5000092,5
pv0476	Travacò BIVIO COLONNE	512041,031	4999330,5
pv0477	Travacò BIVIO MEZZANO	512372,406	4999155,5
pv0478	Travacò PO Dei Ronchi	512579,938	4998827,5
pv0479	Travacò ARGINE Fossa	512709,406	4998582
pv0480	Travacò PO civ. 31	512584,031	4998859,5
pv0481	Travacò MARCONI 8 Marzo	512609,781	4999350,5
pv0482	Travacò MARCONI L. Fontana	512706,156	4999739
pv0484	Travacò MADONNA	514206,812	5000019
pv0485	Travacò BOSCHI	514485,125	4999959
pv0486	Travacò MADONNA	514212,125	5000034,5
pv0488	Travacò MARCONI Pertini	512682,219	4999703
pv0489	Travacò MARCONI civ. 1	512599,688	4999382
pv0490	Travacò BIVIO MEZZANO	512405,375	4999171
pv0491	Travacò BIVIO COLONNE	512053,156	4999355
pv0492	Travacò Cascina BALENA	511921,312	5000040,5
pv0493	Travacò Cascina PORTICHETTO	511752,625	5000978,5
pv0494	Travacò LA ROTTA civ. 37	511507,688	5001176
pv0495	Travacò LA ROTTA civ. 5	511200,344	5001208
pv0496	BRAMANTE Dei Mille	511323,125	5001827
pv0499	San Martino CASE NUOVE	509611,688	4999606
pv0500	San Martino BIVIO CAVA GRAMSCI civ. 8	509428,469	4999056,5
pv0501	San Martino BIVIO CAVA GRAMSCI civ. 46	509428,719	4998669
pv0502	Cava Manara TURATI s.s. 35	509416,25	4998441,5
pv0503	Cava Manara TURATI civ. 29	509393,375	4997633,5
pv0504	Mezzana Corti TRE RE Togliatti	509370,656	4996978
pv0505	Mezzana Corti BARSANTI civ. 59	509408,125	4996597
pv0506	Mezzana Corti BARSANTI civ. 33	509459,875	4996312,5
pv0507	Mezzana Corti FERMI civ. 16	509683,531	4995901,5
pv0508	Mezzana Corti FERMI civ. 36	509768,344	4995806
pv0509	Mezzana Corti GALVANI	510029,438	4995624
pv0510	Mezzana Corti FERMI civ. 37	509774,969	4995829
pv0511	Mezzana Corti FERMI civ. 15	509686,844	4995933,5
pv0512	Mezzana Corti BARSANTI civ. 34	509477,531	4996330
pv0513	Mezzana Corti BARSANTI Scuole	509430,156	4996608
pv0514	Mezzana Corti TRE RE Togliatti	509397,094	4996978
pv0515	Cava Manara TURATI Villa Glori	509423,562	4997710,5
pv0516	San Martino TURATI s.s. 35	509433,562	4998477
pv0517	San Martino BIVIO CAVA GRAMSCI	509451,906	4998938,5
pv0518	San Martino CASE NUOVE	509689,531	4999631
pv0519	San Martino MADONNA	510029,969	4999870
pv0520	San Martino ROMA Comune	510594,812	5000359
pv0521	San Martino ROMA civ. 118	510813,5	5000747,5
pv0522	San Martino ROMA civ. 200	510885,625	5000969
